"","disease","variable","value"
"977","COVID-19","Myeloid",0.250216330522536
"978","COVID-19","Myeloid",0.257042670080023
"979","COVID-19","Myeloid",0.289877759408376
"980","COVID-19","Myeloid",0.268328541506847
"981","COVID-19","Myeloid",0.111003251728532
"982","COVID-19","Myeloid",0.267138715197911
"983","COVID-19","Myeloid",0.228118707508618
"984","COVID-19","Myeloid",0.324611135278463
"985","COVID-19","Myeloid",0.427299959002135
"986","COVID-19","Myeloid",0.518426748201658
"987","COVID-19","Myeloid",0.480363677375948
"988","COVID-19","Myeloid",0.535119501410866
"989","COVID-19","Myeloid",0.484038462224725
"990","COVID-19","Myeloid",0.439226102753258
"991","COVID-19","Myeloid",0.424029452116435
"992","COVID-19","Myeloid",0.490584508473879
"993","COVID-19","Myeloid",0.472840616793531
"994","COVID-19","Myeloid",0.524088530108296
"995","COVID-19","Myeloid",0.448073197984175
"996","COVID-19","Myeloid",0.522415289098544
"997","COVID-19","Myeloid",0.530102043416498
"998","COVID-19","Myeloid",0.356594259033859
"999","COVID-19","Myeloid",0.346930998997875
"1000","Control","Myeloid",0.168869046379169
"1001","Control","Myeloid",0.245231258396033
"1002","Control","Myeloid",0.122239114804703
"1003","Control","Myeloid",0.169053706320242
"1004","Control","Myeloid",0.150840724629503
"1005","Control","Myeloid",0.234373686768022
"1006","Control","Myeloid",0.273242381218786
"1007","Control","Myeloid",0.482515855658245
"1008","Control","Myeloid",0.289627484488308
"1009","Control","Myeloid",0.575287916540144
"1010","Control","Myeloid",0.380250909947243
"1011","Control","Myeloid",0.583735717250285
"1012","Control","Myeloid",0.232988094882467
"1013","Control","Myeloid",0.416593397636617
"1014","Control","Myeloid",0.384827117077745
"1015","Control","Myeloid",0.413502263569643
"1016","Control","Myeloid",0.378917415358689
"1017","Control","Myeloid",0.316027470767798
"1018","Control","Myeloid",0.433736675807924
"1019","Control","Myeloid",0.389311387490264
"1020","Control","Myeloid",0.360968004220946
"1021","Control","Myeloid",0.483531867821283
"1022","COVID-19","Myeloid",0.132041418281901
"1023","COVID-19","Myeloid",0.124312449514217
"1024","COVID-19","Myeloid",0.0352520268314382
"1025","COVID-19","Myeloid",0.129323638263956
"1026","COVID-19","Myeloid",0.103168123312864
"1027","COVID-19","Myeloid",0.070037622502905
"1028","COVID-19","Myeloid",0.0651099221550926
"1029","COVID-19","Myeloid",0.0901340629002115
"1030","COVID-19","Myeloid",0.154368901200124
"1031","COVID-19","Myeloid",0.0718807798869372
"1032","COVID-19","Myeloid",0.0796683387190691
"1033","COVID-19","Myeloid",0.0761774376456127
"1034","COVID-19","Myeloid",0.113791091418718
"1035","COVID-19","Myeloid",0.0766786429578902
"1036","COVID-19","Myeloid",0.0630770918470935
"1037","COVID-19","Myeloid",0.0937435285450163
"1038","COVID-19","Myeloid",0.125570831682835
"1039","COVID-19","Myeloid",0.0675352828007507
"1040","COVID-19","Myeloid",0.113808896909273
"1041","COVID-19","Myeloid",0.162003520854102
"1042","COVID-19","Myeloid",0.0417663254765865
"1043","COVID-19","Myeloid",0.0840876744815573
"1044","COVID-19","Myeloid",0.08614513508155
"1045","Control","Myeloid",0.124703237018605
"1046","Control","Myeloid",0.103897824943501
"1047","Control","Myeloid",0.253801606916278
"1048","Control","Myeloid",0.0283000475640489
"1049","Control","Myeloid",0.183491322546951
"1050","Control","Myeloid",0.106036420219941
"1051","Control","Myeloid",0.255134889784557
"1052","Control","Myeloid",0.338627111657275
"1053","Control","Myeloid",0.323499016345883
"1054","Control","Myeloid",0.220200161460239
"1055","Control","Myeloid",0.277929531634428
"1056","Control","Myeloid",0.101284030410977
"1057","Control","Myeloid",0.117984492788774
"1058","Control","Myeloid",0.195380730903008
"1059","Control","Myeloid",0.197285424541955
"1060","Control","Myeloid",0.196936698646052
"1061","Control","Myeloid",0.28077289086498
"1062","Control","Myeloid",0.284140944300338
"1063","Control","Myeloid",0.246389873100444
"1064","Control","Myeloid",0.190000117825656
"1065","Control","Myeloid",0.269913468744485
"1066","Control","Myeloid",0.176122420058492
"1067","Control","Myeloid",0.114078758876183
"1068","COVID-19","Myeloid",0.352903451619908
"1069","COVID-19","Myeloid",0.396026379179117
"1070","COVID-19","Myeloid",0.479416105354856
"1071","COVID-19","Myeloid",0.511804938597068
"1072","COVID-19","Myeloid",0.391958385871834
"1073","COVID-19","Myeloid",0.706366859783305
"1074","COVID-19","Myeloid",0.760582338775417
"1075","COVID-19","Myeloid",0.717121953461032
"1076","COVID-19","Myeloid",0.674461062654381
"1077","COVID-19","Myeloid",0.683925967550615
"1078","COVID-19","Myeloid",0.659674528423622
"1079","COVID-19","Myeloid",0.677603004153992
"1080","COVID-19","Myeloid",0.65808146520862
"1081","COVID-19","Myeloid",0.691979184396187
"1082","COVID-19","Myeloid",0.6657007089639
"1083","COVID-19","Myeloid",0.676918581636171
"1084","COVID-19","Myeloid",0.70804725051815
"1085","COVID-19","Myeloid",0.696858991737869
"1086","COVID-19","Myeloid",0.678977311083836
"1087","COVID-19","Myeloid",0.643803365954467
"1088","COVID-19","Myeloid",0.635153265451139
"1089","COVID-19","Myeloid",0.683930129529293
"1090","COVID-19","Myeloid",0.648608973017835
"1091","COVID-19","Myeloid",0.322311433439173
"1092","COVID-19","Myeloid",0.240134801469837
"1093","COVID-19","Myeloid",0.224110704652504
"1094","COVID-19","Myeloid",0.324638839095094
"1095","COVID-19","Myeloid",0.297156675017905
"1096","COVID-19","Myeloid",0.401810298133974
"1097","COVID-19","Myeloid",0.484282306394555
"1098","COVID-19","Myeloid",0.279895270016135
"1099","COVID-19","Myeloid",0.438087309857773
"1100","COVID-19","Myeloid",0.448344259405202
"1101","COVID-19","Myeloid",0.278110364099112
"1102","COVID-19","Myeloid",0.452085684766527
"1103","COVID-19","Myeloid",0.39278854677679
"1104","COVID-19","Myeloid",0.503080694054639
"1105","COVID-19","Myeloid",0.454262860267709
"1106","COVID-19","Myeloid",0.507896433774613
"1107","COVID-19","Myeloid",0.484190103850124
"1108","COVID-19","Myeloid",0.419607011297767
"1109","COVID-19","Myeloid",0.530664651688186
"1110","COVID-19","Myeloid",0.375787300436132
"1111","COVID-19","Myeloid",0.499902749912325
"1112","COVID-19","Myeloid",0.427780655015945
"1113","COVID-19","Myeloid",0.551283994038418
"1114","COVID-19","Myeloid",0.3984555299099
"1115","Control","Myeloid",0.190808567482629
"1116","Control","Myeloid",0.165657072499745
"1117","Control","Myeloid",0.114751047500808
"1118","Control","Myeloid",0.0783549809056183
"1119","Control","Myeloid",0.0951337847094103
"1120","Control","Myeloid",0.116676605301746
"1121","Control","Myeloid",0.329515436482466
"1122","Control","Myeloid",0.229738102680809
"1123","Control","Myeloid",0.161208479066802
"1124","Control","Myeloid",0.128943791897934
"1125","Control","Myeloid",0.148445712629508
"1126","Control","Myeloid",0.187928185136822
"1127","Control","Myeloid",0.212418972480923
"1128","Control","Myeloid",0.205373719409626
"1129","Control","Myeloid",0.176217741817391
"1130","Control","Myeloid",0.145189331493049
"1131","Control","Myeloid",0.253654750234779
"1132","Control","Myeloid",0.172609335595715
"1133","Control","Myeloid",0.220393576321199
"1134","COVID-19","Myeloid",0.122734874366942
"1135","COVID-19","Myeloid",0.162379679211496
"1136","COVID-19","Myeloid",0.267936716799857
"1137","COVID-19","Myeloid",0.330161096861377
"1138","COVID-19","Myeloid",0.279987872876541
"1139","COVID-19","Myeloid",0.288694592938034
"1140","COVID-19","Myeloid",0.322998817331481
"1141","COVID-19","Myeloid",0.354699236875367
"1142","COVID-19","Myeloid",0.386074833143607
"1143","COVID-19","Myeloid",0.316032944576154
"1144","COVID-19","Myeloid",0.234522593289191
"1145","COVID-19","Myeloid",0.308164813825833
"1146","COVID-19","Myeloid",0.374465705690953
"1147","COVID-19","Myeloid",0.388649534830557
"1148","COVID-19","Myeloid",0.360904391419023
"1149","COVID-19","Myeloid",0.43646601194628
"1150","COVID-19","Myeloid",0.203511623947772
"1151","COVID-19","Myeloid",0.28413996315672
"1152","COVID-19","Myeloid",0.306348886656628
"1153","COVID-19","Myeloid",0.264310390461167
"1154","COVID-19","Myeloid",0.268629419672569
"1155","COVID-19","Myeloid",0.318361003330723
"1156","COVID-19","Myeloid",0.241281398125304
"1157","COVID-19","Myeloid",0.190786891517348
"1158","COVID-19","Myeloid",0.173572259878705
"1159","COVID-19","Myeloid",0.16619620085323
"1160","COVID-19","Myeloid",0.364068704499595
"1161","COVID-19","Myeloid",0.420142244330761
"1162","COVID-19","Myeloid",0.374681518804777
"1163","COVID-19","Myeloid",0.387743691022963
"1164","COVID-19","Myeloid",0.359830214635198
"1165","COVID-19","Myeloid",0.397283781248179
"1166","COVID-19","Myeloid",0.392123893264993
"1167","COVID-19","Myeloid",0.39894671954036
"1168","COVID-19","Myeloid",0.383558137985802
"1169","COVID-19","Myeloid",0.355434364887422
"1170","COVID-19","Myeloid",0.390890635146925
"1171","COVID-19","Myeloid",0.333136742229492
"1172","COVID-19","Myeloid",0.298683361347644
"1173","COVID-19","Myeloid",0.335924869333058
"1174","COVID-19","Myeloid",0.232075954406728
"1175","COVID-19","Myeloid",0.288142521838553
"1176","COVID-19","Myeloid",0.249506103063558
"1177","COVID-19","Myeloid",0.243095654489006
"1178","COVID-19","Myeloid",0.383920561216771
"1179","COVID-19","Myeloid",0.367180949964583
"1180","COVID-19","Myeloid",0.402326310126341
"1181","COVID-19","Myeloid",0.418445969482157
"1182","COVID-19","Myeloid",0.414221621546764
"1183","COVID-19","Myeloid",0.358410423919427
"1184","COVID-19","Myeloid",0.37318772192127
"1185","COVID-19","Myeloid",0.397001262692416
"1186","COVID-19","Myeloid",0.37802841563471
"1187","COVID-19","Myeloid",0.381165986855117
"1188","COVID-19","Myeloid",0.408798298383484
"1189","COVID-19","Myeloid",0.389822405278572
"1190","COVID-19","Myeloid",0.43578554088242
"1191","COVID-19","Myeloid",0.416065415028555
"1192","COVID-19","Myeloid",0.405674286198038
"1193","COVID-19","Myeloid",0.394415327254388
"1194","COVID-19","Myeloid",0.42402382902631
"1195","COVID-19","Myeloid",0.378738820098843
"1196","COVID-19","Myeloid",0.396622251712177
"1197","COVID-19","Myeloid",0.383483240196884
"1198","COVID-19","Myeloid",0.520028078763323
"1199","COVID-19","Myeloid",0.521927331095218
"1200","COVID-19","Myeloid",0.477922637522214
"1201","COVID-19","Myeloid",0.506603776779542
"1202","COVID-19","Myeloid",0.492876607430701
"1203","COVID-19","Myeloid",0.574317130843211
"1204","COVID-19","Myeloid",0.479750868996619
"1205","COVID-19","Myeloid",0.528335689376677
"1206","COVID-19","Myeloid",0.468555056002118
"1207","COVID-19","Myeloid",0.525154153978563
"1208","COVID-19","Myeloid",0.490596261899952
"1209","COVID-19","Myeloid",0.503006631235982
"1210","COVID-19","Myeloid",0.546966502093643
"1211","COVID-19","Myeloid",0.471985707962497
"1212","COVID-19","Myeloid",0.496829723343684
"1213","COVID-19","Myeloid",0.465130568476482
"1214","COVID-19","Myeloid",0.489212794371814
"1215","COVID-19","Myeloid",0.483034091131162
"1216","COVID-19","Myeloid",0.496234665050535
"1217","COVID-19","Myeloid",0.534900407792933
"1218","COVID-19","Myeloid",0.470689461981916
"1219","COVID-19","Myeloid",0.432453262991519
"1220","COVID-19","Myeloid",0.48796714848279
